id,producto_id,anio,precio_unitario,subtotal,proveedor,created_at,updated_at
1,1,2025,598.55,598.55,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
2,2,2025,607.61,607.61,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
3,3,2025,613.76,613.76,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
4,4,2025,598.55,598.55,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
5,5,2025,598.55,598.55,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
6,6,2025,566.70,566.70,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
7,7,2025,567.83,567.83,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
8,8,2025,563.98,563.98,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
9,9,2025,559.94,559.94,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
10,10,2025,563.18,563.18,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
11,11,2025,560.90,560.90,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
12,12,2025,552.47,552.47,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
13,13,2025,582.15,582.15,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
14,14,2025,563.46,563.46,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
15,15,2025,370.72,370.72,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
16,16,2025,380.37,380.37,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
17,17,2025,569.59,569.59,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
18,18,2025,582.15,582.15,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
19,19,2025,578.44,578.44,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
20,20,2025,625.59,625.59,GIK,"2026-03-31 11:48:04","2026-03-31 11:48:04"
21,21,2025,992.44,992.44,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
22,22,2025,992.44,992.44,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
23,23,2025,824.85,824.85,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
24,24,2025,437.33,437.33,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
25,25,2025,831.22,831.22,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
26,26,2025,472.00,472.00,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
27,27,2025,472.00,472.00,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
28,28,2025,342.42,342.42,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
29,29,2025,329.81,329.81,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
30,30,2025,329.81,329.81,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
31,31,2025,524.68,524.68,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
32,32,2025,456.65,456.65,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
33,33,2025,88.50,88.50,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
34,34,2025,273.93,273.93,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
35,35,2025,464.62,464.62,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
36,36,2025,926.08,926.08,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
37,37,2025,926.08,926.08,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
38,38,2025,291.84,291.84,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
39,39,2025,320.28,320.28,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
40,40,2025,642.68,642.68,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
41,41,2025,176.99,176.99,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
42,42,2025,63.21,63.21,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
43,43,2025,239.15,239.15,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
44,44,2025,521.51,521.51,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
45,45,2025,682.71,682.71,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
46,46,2025,652.15,652.15,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
47,47,2025,652.15,652.15,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
48,48,2025,608.96,608.96,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
49,49,2025,32.67,32.67,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
50,50,2025,269.66,269.66,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
51,51,2025,104.31,104.31,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
52,52,2025,452.61,452.61,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
53,53,2025,2209.33,2209.33,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
54,54,2025,1078.85,1078.85,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
55,55,2025,302.37,302.37,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
56,56,2025,254.96,254.96,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
57,57,2025,213.43,213.43,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
58,58,2025,671.12,671.12,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
59,59,2025,421.43,421.43,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
60,60,2025,1367.53,1367.53,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
61,61,2025,171.74,171.74,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
62,62,2025,43.19,43.19,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
63,63,2025,168.56,168.56,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
64,64,2025,7.37,7.37,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
65,65,2025,218.09,218.09,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
66,66,2025,149.61,149.61,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
67,67,2025,132.75,132.75,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
68,68,2025,106.40,106.40,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
69,69,2025,54.78,54.78,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
70,70,2025,40.04,40.04,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
71,71,2025,703.79,703.79,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
72,72,2025,463.57,463.57,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
73,73,2025,580.51,580.51,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
74,74,2025,6.32,6.32,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
75,75,2025,90.60,90.60,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
76,76,2025,132.75,132.75,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
77,77,2025,276.04,276.04,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
78,78,2025,179.10,179.10,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
79,79,2025,7649.96,7649.96,beyram,"2026-03-31 11:48:04","2026-03-31 11:48:04"
80,80,2025,693.16,693.16,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
81,81,2025,693.15,693.15,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
82,82,2025,693.16,693.16,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
83,83,2025,693.16,693.16,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
84,84,2025,693.16,693.16,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
85,85,2025,365.86,365.86,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
86,86,2025,449.88,449.88,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
87,87,2025,715.37,715.37,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
88,88,2025,676.75,676.75,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
89,89,2025,697.99,697.99,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
90,90,2025,696.06,696.06,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
91,91,2025,694.06,694.06,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
92,92,2025,706.05,706.05,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
93,93,2025,697.99,697.99,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
94,94,2025,331.14,331.14,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
95,95,2025,919.07,919.07,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
96,96,2025,958.65,958.65,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
97,97,2025,959.83,959.83,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
98,98,2025,915.31,915.31,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
99,99,2025,944.38,944.38,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
100,100,2025,944.38,944.38,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
101,101,2025,966.89,966.89,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
102,102,2025,918.10,918.10,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
103,103,2025,795.50,795.50,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
104,104,2025,795.50,795.50,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
105,105,2025,836.05,836.05,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
106,106,2025,818.66,818.66,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
107,107,2025,821.01,821.01,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
108,108,2025,799.83,799.83,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
109,109,2025,528.08,528.08,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
110,110,2025,481.45,481.45,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
111,111,2025,812.87,812.87,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
112,112,2025,946.76,946.76,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
113,113,2025,951.26,951.26,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
114,114,2025,955.76,955.76,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
115,115,2025,948.74,948.74,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
116,116,2025,948.29,948.29,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
117,117,2025,928.72,928.72,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
118,118,2025,944.03,944.03,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
119,119,2025,825.98,825.98,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
120,120,2025,823.50,823.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
121,121,2025,823.50,823.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
122,122,2025,823.50,823.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
123,123,2025,860.97,860.97,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
124,124,2025,866.71,866.71,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
125,125,2025,894.47,894.47,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
126,126,2025,850.99,850.99,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
127,127,2025,174.74,174.74,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
128,128,2025,1195.18,1195.18,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
129,129,2025,1133.39,1133.39,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
130,130,2025,1100.68,1100.68,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
131,131,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
132,132,2025,1106.71,1106.71,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
133,133,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
134,134,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
135,135,2025,1195.18,1195.18,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
136,136,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
137,137,2025,1063.88,1063.88,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
138,138,2025,865.98,865.98,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
139,139,2025,945.14,945.14,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
140,140,2025,1019.69,1019.69,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
141,141,2025,918.48,918.48,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
142,142,2025,902.50,902.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
143,143,2025,1011.08,1011.08,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
144,144,2025,462.42,462.42,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
145,145,2025,2275.47,2275.47,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
146,146,2025,2275.47,2275.47,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
147,147,2025,1004.99,1004.99,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
148,148,2025,1004.99,1004.99,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
149,149,2025,1050.37,1050.37,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
150,150,2025,1050.37,1050.37,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
151,151,2025,454.24,454.24,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
152,152,2025,327.07,327.07,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
153,153,2025,326.31,326.31,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
154,154,2025,294.45,294.45,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
155,155,2025,281.90,281.90,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
156,156,2025,89.78,89.78,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
157,157,2025,90.74,90.74,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
158,158,2025,853.42,853.42,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
159,159,2025,291.84,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
160,160,2025,671.12,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
161,161,2025,671.12,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
162,162,2025,421.43,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
163,163,2025,421.43,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
164,164,2025,171.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
165,165,2025,43.19,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
166,166,2025,218.09,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
167,167,2025,132.75,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
168,168,2025,6.32,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
169,169,2025,7.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
170,170,2025,106.40,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
171,171,2025,703.79,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
172,172,2025,2209.33,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
173,173,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
174,174,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
175,175,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
176,176,2025,168.56,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
177,177,2025,7649.96,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
178,178,2025,90.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
179,179,2025,1195.18,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
180,180,2025,1195.18,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
181,181,2025,1100.68,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
182,182,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
183,183,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
184,184,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
185,185,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
186,186,2025,1063.88,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
187,187,2025,865.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
188,188,2025,1019.69,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
189,189,2025,1011.08,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
190,190,2025,1011.08,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
191,191,2025,329.81,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
192,192,2025,329.81,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
193,193,2025,812.87,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
194,194,2025,676.75,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
195,195,2025,697.99,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
196,196,2025,696.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
197,197,2025,696.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
198,198,2025,696.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
199,199,2025,694.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
200,200,2025,706.05,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
201,201,2025,706.05,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
202,202,2025,799.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
203,203,2025,919.07,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
204,204,2025,919.07,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
205,205,2025,958.65,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
206,206,2025,958.65,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
207,207,2025,959.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
208,208,2025,959.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
209,209,2025,915.31,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
210,210,2025,915.31,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
211,211,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
212,212,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
213,213,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
214,214,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
215,215,2025,966.89,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
216,216,2025,918.10,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
217,217,2025,2275.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
218,218,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
219,219,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
220,220,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
221,221,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
222,222,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
223,223,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
224,224,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
225,225,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
226,226,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
227,227,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
228,228,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
229,229,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
230,230,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
231,231,2025,462.42,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
232,232,2025,462.42,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
233,233,2025,1004.99,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
234,234,2025,1004.99,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
235,235,2025,1050.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
236,236,2025,1050.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
237,237,2025,1050.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
238,238,2025,560.90,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
239,239,2025,560.90,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
240,240,2025,552.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
241,241,2025,552.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
242,242,2025,552.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
243,243,2025,582.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
244,244,2025,563.46,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
245,245,2025,563.46,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
246,246,2025,569.59,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
247,247,2025,582.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
248,248,2025,582.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
249,249,2025,578.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
250,250,2025,281.90,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
251,251,2025,598.55,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
252,252,2025,607.61,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
253,253,2025,607.61,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
254,254,2025,613.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
255,255,2025,613.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
256,256,2025,613.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
257,257,2025,598.55,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
258,258,2025,598.55,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
259,259,2025,567.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
260,260,2025,567.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
261,261,2025,563.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
262,262,2025,563.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
263,263,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
264,264,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
265,265,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
266,266,2025,559.94,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
267,267,2025,380.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
268,268,2025,380.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
269,269,2025,625.59,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
270,270,2025,625.59,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
271,271,2025,946.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
272,272,2025,955.76,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
273,273,2025,948.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
274,274,2025,948.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
275,275,2025,948.29,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
276,276,2025,948.29,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
